x1 = .1552
x2 = .2776
h  = .0002

  X   |   f
.2554 | 4.9583
.2556 | 4.9553
.2558 | 4.9523
.2560 | 4.9492
.2562 | 4.9462
.2564 | 4.9432
.2566 | 4.9402
.2568 | 4.9372
.2570 | 4.9342
.2572 | 4.9312
.2574 | 4.9282
.2576 | 4.9253
.2578 | 4.9223
.2580 | 4.9193
.2582 | 4.9163
.2584 | 4.9134
.2586 | 4.9104
.2588 | 4.9075
.2590 | 4.9045
.2592 | 4.9016
.2594 | 4.8986
.2596 | 4.8957
.2598 | 4.8928
.2600 | 4.8898
.2602 | 4.8869
.2604 | 4.8840
.2606 | 4.8811
.2608 | 4.8782
.2610 | 4.8753
.2612 | 4.8724
.2614 | 4.8695
.2616 | 4.8666
.2618 | 4.8637
.2620 | 4.8608
.2622 | 4.8579
.2624 | 4.8551
.2626 | 4.8522
.2628 | 4.8493
.2630 | 4.8465
.2632 | 4.8436
.2634 | 4.8408
.2636 | 4.8379
.2638 | 4.8351
.2640 | 4.8322
.2642 | 4.8294
.2644 | 4.8266
.2646 | 4.8238
.2648 | 4.8209
.2650 | 4.8181
.2652 | 4.8153
.2654 | 4.8125
.2656 | 4.8097
.2658 | 4.8069
.2660 | 4.8041
.2662 | 4.8013
.2664 | 4.7985
.2666 | 4.7957
.2668 | 4.7930
.2670 | 4.7902
.2672 | 4.7874
.2674 | 4.7847
.2676 | 4.7819
.2678 | 4.7791
.2680 | 4.7764
.2682 | 4.7736
.2684 | 4.7709
.2686 | 4.7682
.2688 | 4.7654
.2690 | 4.7627
.2692 | 4.7600
.2694 | 4.7572
.2696 | 4.7545
.2698 | 4.7518
.2700 | 4.7491
.2702 | 4.7464
.2704 | 4.7437
.2706 | 4.7410
.2708 | 4.7383
.2710 | 4.7356
.2712 | 4.7329
.2714 | 4.7302
.2716 | 4.7275
.2718 | 4.7249
.2720 | 4.7222
.2722 | 4.7195
.2724 | 4.7169
.2726 | 4.7142
.2728 | 4.7116
.2730 | 4.7089
.2732 | 4.7063
.2734 | 4.7036
.2736 | 4.7010
.2738 | 4.6983
.2740 | 4.6957
.2742 | 4.6931
.2744 | 4.6905
.2746 | 4.6878
.2748 | 4.6852
.2750 | 4.6826
.2752 | 4.6800
.2754 | 4.6774
.2756 | 4.6748
.2758 | 4.6722
.2760 | 4.6696
.2762 | 4.6670
.2764 | 4.6644
.2766 | 4.6618
.2768 | 4.6593
.2770 | 4.6567
.2772 | 4.6541
.2774 | 4.6516
.2776 | 4.6490
